Name,cluster,volatility,avg_return,avg_volume,volume_volatility,momentum,price_range,trend_strength,price_level,volume_to_price_ratio
APC,0,0.0226281462726187,0.0030472670361476,6437536.25,0.3645416278926676,0.057636887608069,0.0606267029972751,0.2949438202247187,0.5871999999999999,204562.9257493188
ZION,0,0.0164746494231286,0.0022209520118639,2638728.85,0.4734059897864022,0.0426558579424821,0.038781932617549,0.8591885441527471,0.5402,118979.63717141798
BBT,0,0.0124187780997878,0.001709219089003,4785817.1,0.2666459061860728,0.0332117488961412,0.0195094760312152,0.4952380952380962,0.5382,83825.3994797473
SPGI,-1,0.025560392645272,0.001822071752558,1348595.65,0.8221069716317474,0.0307492665312569,0.0567080847337018,0.7403474903474901,1.8269,13169.954567847171
CB,0,0.0137720368014082,0.0006601829322151,1975215.3,0.358694540801882,0.0114501199862873,0.0321780097613881,0.5533927405253989,1.4752,21029.75189804772
RE,0,0.0194371944221443,0.006619630584549,389321.2,0.4249838367366449,0.1371283705923023,0.0342521280907986,0.5289940828402355,2.467,2712.756384272396
AMAT,0,0.0271525523929405,-0.0055972099533215,13760715.5,0.246997870640633,-0.1124681006197594,0.0392277675087286,0.0104712041884796,0.4869,303211.5629492709
HON,0,0.0137911172076414,-0.0014763232747173,3562270.55,0.2721191841803109,-0.0308954554195243,0.0232819630927972,0.0511363636363654,1.5119,20979.8465506978
SLG,0,0.0154394574939764,-0.0028952027866417,1184526.05,0.3782641511380544,-0.0585014701409307,0.0212147318544044,0.0406091370558367,0.9286,11854.67370234762
APD,0,0.016300316538724,-0.0031838054869085,1436852.8,0.4391154262938073,-0.0641783982018218,0.0235130522722963,0.026881720430106,1.5821,10429.290183932748
DUK,0,0.0107472232774323,-0.0043330282023059,4421279.4,0.2279050528039217,-0.0841949778434267,0.0185483870967741,0.1594202898550721,0.7440000000000001,65058.81720430107
DHR,0,0.0150940495122704,-0.0016210479520001,3007545.65,0.4528838387539555,-0.0340736233647703,0.0233070866141732,0.2252252252252253,0.9525,56031.55905511811
ESS,0,0.0146593788956892,-0.0039570634821586,449176.95,0.4408500250614872,-0.0781309518770898,0.0275010330104218,0.0484140233722859,2.1781,2480.43248702998
LOW,0,0.0204387968023249,0.0029624020874491,6591048.75,0.4701290102397777,0.056795346377578,0.0257706164931944,0.0679611650485428,0.9992,52614.68174539632
GOOGL,-1,0.0197612673554193,-0.0024537610758106,2225971.05,0.5540996063909347,-0.051564086665049,0.0302346955211719,0.0247571294265179,10.5541,2460.744165774438
WY,0,0.0163832128450396,-0.0009316209207428,5311865.9,0.3817937779589074,-0.0209869540555869,0.0202780996523753,0.0857142857142894,0.3452,123413.41251448434
KORS,-1,0.0127182937382646,0.0018410954176938,2138557.6,0.671357572768104,0.0358821685991851,0.0789593102405082,0.2643678160919532,0.6611,101719.89109060656
ADSK,0,0.0188059078389851,-0.0005364466163891,2119464.75,0.3084003499240944,-0.0140041031130139,0.0275918219648995,0.0098360655737708,1.1054000000000002,14471.376877148545
FB,-1,0.021651691153112,-0.0018624771290515,29107571.5,0.534665928370186,-0.0409325597487624,0.0284809634809636,0.0448194555410521,1.8018,153190.6204906205
M,0,0.026425738163365,0.0004765380600912,8995039.65,0.3247702550407114,0.0028351559335763,0.037762520193861,0.7593582887700554,0.2476,360679.07915993535
RHI,0,0.0185986064405926,-0.0001981141042974,1211304.95,0.499535491746551,-0.0072399788098181,0.0236570615439345,0.6015037593984949,0.5622,32799.12842404838
SNPS,0,0.0125845851688519,-0.0021099484753471,930332.2,0.3538050218237614,-0.042814137585015,0.021665695981363,0.016129032258065,0.8584999999999999,16673.838089691322
AJG,0,0.0202545026162882,0.0021031674295737,1261584.1,0.4514463235409528,0.0389753261040389,0.0305551353804265,0.4356435643564342,0.6611,18874.52730297988
VRSK,0,0.0109305026093828,-0.0010074156107988,953596.8,0.3532963383438031,-0.0210896309314587,0.0198542612736298,0.090425531914894,0.9469,9928.313443869469
IT,0,0.01980157010632,-0.0036297523241927,656950.3,0.8623950202121725,-0.0736719658782472,0.0382586856425283,0.0087527352297606,1.1945,13733.645876935956
FMC,0,0.0178316180460555,-0.0076088470244852,1525156.4,0.638473004382677,-0.1442983797003974,0.0261998332737881,0.0954545454545431,0.8397,10782.219840419197
TMO,0,0.017383939297611,0.0004943434889718,1717414.05,0.3301762952721307,0.0070354196991752,0.0244278487111539,0.2800788954635144,2.0755,7964.461575523969
NUE,0,0.0153956838573898,-0.0035998647542525,3255502.85,0.320193536443595,-0.0717025671289465,0.0201700572155116,0.0,0.6292,50114.09726637
CTAS,0,0.0125163550725989,-0.0013776358436402,579792.45,0.3502324582109046,-0.0286564942314849,0.0253512132822477,0.2795969773299712,1.5659999999999998,4240.644955300128
BDX,0,0.016630819031951,-0.0008694957253642,1568759.3,0.3187842010521627,-0.01987456938433,0.0315428983417447,0.1414285714285686,2.2192,11772.14762076424
HII,0,0.0252125561781309,-0.0006168229534396,523642.3,0.3640306272343984,-0.0183110367892976,0.0469508559747892,0.6721088435374143,2.3482,1552.9767481475174
MU,-1,0.0365975745799687,-0.0005137795667478,39811225.55,0.2468343917085065,-0.0223411682569234,0.0433230183289693,0.1483516483516461,0.4201,1222441.8947869556
COST,0,0.0141423876044605,-0.0007426275936037,2781624.35,0.2624751855091876,-0.0166407214557946,0.0170314973524755,0.0384615384615398,1.8319,14164.648725367106
